Month,Year,Type,Country,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species
Dec,1983,Unprovoked,USA,"Riviera Beach, Palm Beach County",Surfing,M,17,Left foot & thigh bitten,N,15h30,
Dec,1983,Unprovoked,Australia,"Dangerous Reef, South Neptune Island",Scuba diving for abalone,M,48,Fingers bitten,N,,White shark
Dec,1983,Unprovoked,South Africa,Great Fish River,Swimming,M,16,"Left calf, ankle & foot lacerated",N,12h30,
Dec,1983,Unprovoked,South Africa,Nahoon,Swimming,M,47,Shin lacerated,N,08h15,Raggedtooth shark
Nov,1983,Unprovoked,USA,"Melbourne Beach, Brevard County",Surfing,M,15,Laceration to left foot,N,,Tiger shark
Oct,1983,Unprovoked,USA,"Stuart Beach, Martin County",Surfing,M,16,Puncture marks in leg & surfboard dinged,N,,
Oct,1983,Unprovoked,USA,"Daytona Beach, Volusia County",Wading,M,20,Lacerations to left ankle,N,,
Aug,1983,Unprovoked,USA,"Cape Kiwanda,Tillamook County",Surfing,M,,"No injury, board bitten",N,10h00,White shark
Aug,1983,Unprovoked,South Africa,"Seal Island, False Bay",Spearfishing,M,29,Inner thighs lacerated,N,10h00,White shark
Aug,1983,Unprovoked,USA,"Virginia Beach, Princess Anne County",Swimming,F,14,Foot bitten,N,Morning,Sand shark
Aug,1983,Provoked,USA,"Riviera Beach, Palm Beach County",Skindiving,M,14,Hand abraded when he grabbed shark's tail PROVOKED INCIDENT,N,,Nurse shark
Aug,1983,Unprovoked,USA,"6 miles south of Boca Chica Key, Monroe County ",Diving,F,22,Right leg severely bitten,N,Morning,Bull shark
Jul,1983,Unprovoked,Australia,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming from the New Venture ,F,21,"FATAL, shark seized her by the chest and took her underwater ",Y,04h00,Tiger shark
Jul,1983,Unprovoked,Australia,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming from the New Venture ,M,24,"FATAL, shark bit leg, then dragged him underwater ",Y,Night,Tiger shark
Jul,1983,Unprovoked,Australia,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,M,28,"Left knee bitten, but survived",N,Night,Tiger shark
Jul,1983,Unprovoked,USA,"Caloosahatchee River, Lee County",Windsurfing,F,39,Left ankle nipped (3 punctures wounds),N,Afternoon,Hammerhead shark
Jul,1983,Unprovoked,Bahamas,Green Turtle Cay,Spearfishing,M,13,Lacerations to left calf,N,12h00,
Jun,1983,Unprovoked,USA,"Off 12th Street, Miami Beach",Swimming,M,42,Left foot bitten,N,11h00,
